brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,graphic_card_gb,warranty,Price,rating,Number of Ratings,Number of Reviews,Touchscreen_Yes,msoffice_Yes,weight_Casual,weight_Gaming,weight_ThinNlight
1,1,1,5,1,1,3,0,4,0,1,44990,3,2058,305,0,1,1,0,0
4,1,1,5,0,1,3,0,4,0,1,45490,3,523,66,0,1,0,0,1
6,1,2,5,1,1,3,0,4,2,0,74990,2,0,0,0,0,1,0,0
1,1,1,5,1,1,3,0,4,0,1,48990,3,174,30,0,0,1,0,0
5,1,2,2,1,1,0,2,4,2,1,56990,3,21,5,0,0,1,0,0
1,1,1,4,0,1,3,0,4,0,1,35990,3,130,12,0,0,1,0,0
1,1,2,4,1,1,2,2,4,2,0,55990,3,23,0,0,0,0,1,0
1,0,9,5,0,1,3,0,4,0,1,63990,3,77,7,0,0,1,0,0
5,0,9,5,0,1,3,0,4,0,2,78988,2,0,0,1,1,1,0,0
4,1,3,5,2,1,4,0,4,2,0,116990,2,0,0,0,0,1,0,0
5,1,3,2,2,1,3,0,4,0,1,86000,2,0,0,0,1,0,0,1
4,1,3,5,2,5,4,0,4,0,1,128500,2,3,1,1,1,1,0,0
7,0,8,4,0,1,0,1,1,2,0,72990,3,425,67,0,0,1,0,0
7,1,2,5,1,1,3,0,4,0,0,109999,2,0,0,1,0,0,0,1
5,1,1,4,0,1,2,0,4,0,3,38940,3,758,64,0,0,1,0,0
1,1,1,5,1,1,2,0,4,0,0,36990,3,20,1,0,0,0,0,1
1,1,0,5,0,4,0,1,1,0,0,23990,3,974,170,0,0,1,0,0
3,0,8,5,0,1,3,0,4,0,1,75500,2,0,0,1,1,1,0,0
4,1,3,5,2,1,3,0,4,2,1,93190,4,4,0,0,1,1,0,0
3,1,6,5,0,1,2,0,4,0,1,36000,3,102,16,0,0,0,0,1
7,1,2,2,1,1,0,2,4,1,1,61990,3,73,21,0,0,0,0,1
3,1,1,5,0,1,2,2,4,0,1,43590,2,0,0,0,1,0,0,1
6,1,3,5,2,1,4,0,4,2,3,154990,3,3,2,1,0,1,0,0
4,0,8,5,1,1,3,0,4,2,1,58990,3,1049,134,0,0,1,0,0
3,1,1,5,1,1,2,2,4,0,1,48990,3,724,92,0,0,0,0,1
5,1,3,4,2,5,4,0,4,0,0,119990,1,2,1,0,0,0,0,1
4,0,8,5,1,1,3,0,4,2,1,59990,3,1978,188,0,0,1,0,0
7,1,2,5,1,5,3,0,4,0,1,60990,3,17,1,0,1,0,0,1
6,1,3,5,2,1,3,0,4,1,0,76990,2,0,0,0,0,1,0,0
1,1,3,4,1,1,3,0,4,2,0,61990,3,11,2,0,0,0,1,0
4,1,1,5,1,1,2,0,4,0,1,56490,2,0,0,1,0,1,0,0
1,1,2,4,1,1,3,0,1,1,0,69990,2,0,0,0,0,1,0,0
4,0,8,5,1,1,3,0,4,0,1,48990,3,45,5,0,1,0,0,1
4,1,2,5,2,1,3,0,4,0,1,66999,3,17,1,0,1,0,0,1
0,2,5,4,1,1,4,0,3,0,1,149990,3,640,70,0,0,1,0,0
1,1,3,4,2,3,4,0,4,0,0,167990,2,0,0,0,0,1,0,0
5,1,2,5,1,1,3,0,4,1,0,89998,2,0,0,0,0,1,0,0
4,0,8,5,1,1,3,0,4,2,1,64990,2,8,1,0,1,0,1,0
2,1,3,2,1,1,2,0,4,0,0,73990,2,0,0,0,0,0,0,1
6,1,2,4,1,4,0,1,0,4,0,207290,2,0,0,0,0,1,0,0
3,1,2,4,1,1,3,0,4,2,1,76300,3,6,0,0,0,1,0,0
5,1,2,3,1,1,3,0,4,2,0,59990,2,9,1,0,0,1,0,0
4,1,3,5,2,1,3,0,4,0,1,104000,2,0,0,1,1,1,0,0
7,0,8,4,0,1,0,1,1,2,0,59990,3,1946,240,0,0,1,0,0
3,1,2,5,2,1,3,0,4,0,0,70090,3,5,1,0,0,0,0,1
4,1,1,1,0,1,0,2,4,0,0,32955,3,311,27,0,0,1,0,0
5,1,2,5,1,1,3,0,4,0,1,52990,2,0,0,0,0,0,0,1
5,0,9,5,0,1,3,0,4,0,1,60990,3,530,69,0,1,1,0,0
4,0,8,5,0,1,3,0,4,0,1,53490,3,826,118,0,1,0,0,1
4,0,10,5,0,1,4,0,4,4,1,141990,2,0,0,0,1,1,0,0
1,0,8,5,1,1,3,0,4,0,1,58990,3,324,34,0,0,1,0,0
5,1,2,5,1,1,3,0,4,0,1,67990,3,9,0,0,1,0,0,1
4,0,8,5,1,1,3,0,4,0,1,57999,3,86,15,0,1,0,0,1
4,1,2,4,1,4,0,1,0,2,0,102551,2,0,0,0,0,1,0,0
3,1,2,5,1,1,3,0,4,0,0,71890,3,3,0,1,0,1,0,0
1,1,1,5,1,1,3,0,4,0,1,42990,3,40,7,0,0,1,0,0
1,0,10,5,2,1,4,0,4,2,0,114990,3,28,4,0,0,1,0,0
1,1,3,4,2,3,4,0,4,1,1,124990,3,17,1,0,1,1,0,0
1,1,3,2,2,0,3,0,4,0,1,99990,3,30,7,0,0,0,0,1
4,1,2,5,1,1,3,0,4,0,1,72500,3,40,3,0,1,0,0,1
3,1,1,4,0,1,2,2,4,0,1,44290,2,0,0,0,1,0,0,1
6,0,8,5,0,1,2,0,4,0,1,49990,2,0,0,0,0,1,0,0
1,1,2,4,1,1,4,0,4,2,0,82990,3,844,118,0,0,1,0,0
1,1,0,5,0,4,0,1,1,0,0,24990,3,502,93,0,0,1,0,0
4,1,1,5,0,1,2,0,4,0,1,44376,3,1090,96,0,1,0,0,1
1,0,10,5,0,1,4,0,4,2,1,162990,2,0,0,0,0,1,0,0
4,1,3,4,2,1,3,0,4,0,1,162990,2,3,1,1,0,1,0,0
6,1,2,4,1,1,3,0,4,0,0,56541,3,677,87,0,0,1,0,0
1,1,1,5,0,1,2,0,1,0,0,41990,2,0,0,0,0,1,0,0
4,1,3,5,2,1,3,0,1,0,0,119599,2,0,0,0,0,1,0,0
1,1,0,5,0,4,0,1,4,0,0,18990,2,197,25,0,0,1,0,0
5,1,2,4,1,1,3,0,4,2,1,66490,3,282,36,0,1,1,0,0
3,1,3,4,2,1,3,0,4,0,1,109190,2,0,0,1,1,1,0,0
3,1,2,5,1,1,3,0,4,0,0,71990,3,7,1,1,0,1,0,0
4,1,1,5,1,1,3,0,4,0,1,42990,3,681,59,0,1,0,0,1
1,0,9,5,0,1,4,0,4,0,1,76990,2,0,0,0,1,1,0,0
